Rank,playerId,gsisPlayerId,league,playerImageId,headshotUrl,player,playerFullName,position,newestTeamName,newestTeamAbbrevName,newestTeamId,newestTeamImageId,currentNFLTeamId,currentNFLTeamAbbrev,currentNFLTeamName,currentNFLStatus,lastNFLTeamId,lastNFLTeamAbbrev,lastNFLTeamName,lastNFLTeamLocation,lastNFLTeamFullName,inFBS,inFCS,activeFBSTeam,activeFCSTeam,teamColor,gameConference,College,pro_day_40,pro_day_10_split,pro_day_3_cone,pro_day_vertical,pro_day_broad,pro_day_bench,combine_40,combine_10_split,combine_3_cone,combine_vertical,combine_broad,combine_bench,height,weight,hand_size,wing_span,arm_length,CmbnScr,AthleteScr,ProdScr,SizeScr,G,null
1,26877,00-0026877,NFL,WAL704764,https://static.www.nfl.com/image/private/{formatInstructions}/league/lhe5jmlod2irqmgvygwo,Pierre Walters,Pierre Walters,LB,Kansas City Chiefs,KC,2310,2310,,,,NOR,2310,KC,Chiefs,Kansas City,Kansas City Chiefs,,,,,#E31837,AFC,Eastern Illinois,-,-,,,,,-,-,-,-,,,77,269,-,,-,-,-,-,-,3,
1,26879,00-0026879,NFL,HAR360376,https://static.www.nfl.com/image/private/{formatInstructions}/league/cfyuih7uzumx6zhoeuty,Darryl Harris,Darryl Harris,G,Kansas City Chiefs,KC,2310,2310,,,,NOR,2310,KC,Chiefs,Kansas City,Kansas City Chiefs,,,,,#E31837,AFC,Mississippi,-,-,,,,,-,-,-,-,,,76,300,-,,-,-,-,-,-,0,
1,27141,00-0027141,NFL,WIL350794,https://static.www.nfl.com/image/private/{formatInstructions}/league/zxydctatcrerojaogipt,Javarris Williams,Javarris Williams,RB,Kansas City Chiefs,KC,2310,2310,,,,NOR,2310,KC,Chiefs,Kansas City,Kansas City Chiefs,,,,,#E31837,AFC,Tennessee State,-,-,,,,,4.51,1.59,-,33.5,116,25,70,223,9.250,,31.500,66.4,73.0,57.2,74.4,4,
1,25927,00-0025927,NFL,BAN556236,https://static.www.nfl.com/image/private/{formatInstructions}/league/dlf9hq1wht2qazmtgqov,Jason Banks,Jason Banks,DE,Arizona Cardinals,ARI,3800,3800,,,,NOR,3800,ARI,Cardinals,Arizona,Arizona Cardinals,,,,,#97233F,NFC,Grambling State,-,-,,,,,-,-,-,-,,,77,296,-,,-,-,-,-,-,1,
1,23195,00-0023195,NFL,JOH679676,https://static.www.nfl.com/image/private/{formatInstructions}/league/yi4gqr2kf79gqbox7ria,Thomas Johnson,Thomas Johnson,DT,Atlanta Falcons,ATL,200,200,,,,NOR,200,ATL,Falcons,Atlanta,Atlanta Falcons,,,,,#A71930,NFC,Middle Tennessee State,-,-,,,,,-,-,-,-,,,74,304,-,,-,-,-,-,-,26,
1,23966,00-0023966,NFL,BER156340,https://static.www.nfl.com/image/private/{formatInstructions}/league/njepsijhlnifo1tl6ato,Troy Bergeron,Troy Bergeron,WR,Atlanta Falcons,ATL,200,200,,,,NOR,200,ATL,Falcons,Atlanta,Atlanta Falcons,,,,,#A71930,NFC,Middle Tennessee State,-,-,,,,,-,-,-,-,,,74,195,-,,-,-,-,-,-,0,
1,26255,00-0026255,NFL,MOO533493,https://static.www.nfl.com/image/private/{formatInstructions}/league/edzxiflpsgpj0mgie71l,Dre Moore,Dre Moore,DT,Tampa Bay Buccaneers,TB,4900,4900,,,,NOR,4900,TB,Buccaneers,Tampa Bay,Tampa Bay Buccaneers,,,,,#A71930,NFC,Maryland,-,-,,,,,4.84,1.62,7.73,28.0,105,31,76,305,10.500,,33.500,78.3,82.6,76.0,77.9,7,
1,26372,00-0026372,NFL,ZIN237309,https://static.www.nfl.com/image/private/{formatInstructions}/league/zm95uhv9uvyj7z0nvezc,Keith Zinger,Keith Zinger,TE,Atlanta Falcons,ATL,200,200,,,,NOR,200,ATL,Falcons,Atlanta,Atlanta Falcons,,,,,#A71930,NFC,LSU,-,-,,,,,-,-,-,-,,,76,258,-,,-,-,-,-,-,15,
1,26386,00-0026386,NFL,URR652601,https://static.www.nfl.com/image/private/{formatInstructions}/league/cyb9zafrpnfc1vkooqqi,Mario Urrutia,Mario Urrutia,WR,Tampa Bay Buccaneers,TB,4900,4900,,,,NOR,4900,TB,Buccaneers,Tampa Bay,Tampa Bay Buccaneers,,,,,#A71930,NFC,Louisville,-,-,,,,,4.62,1.60,7.07,30.0,115,16,78,232,10.250,,34.000,56.9,56.4,60.5,94.8,0,
1,26497,00-0026497,NFL,NUN521334,https://static.www.nfl.com/image/private/{formatInstructions}/league/qzabhzkyifhybmy8zzgk,Terrence Nunn,Terrence Nunn,WR,Tampa Bay Buccaneers,TB,4900,4900,,,,NOR,4900,TB,Buccaneers,Tampa Bay,Tampa Bay Buccaneers,,,,,#A71930,NFC,Nebraska,-,-,,,,,-,-,-,-,,,72,195,-,,-,-,-,-,-,0,
1,26534,00-0026534,NFL,COM497866,https://static.www.nfl.com/image/private/{formatInstructions}/league/crrxfsrib5m6g1w9u5kg,Jonathan Compas,Jonathan Compas,G,Tampa Bay Buccaneers,TB,4900,4900,,,,NOR,4900,TB,Buccaneers,Tampa Bay,Tampa Bay Buccaneers,,,,,#A71930,NFC,UC Davis,-,-,,,,,-,-,-,-,,,75,300,-,,-,-,-,-,-,2,
