Rank,playerId,league,playerImageId,headshotUrl,player,playerFullName,position,newestTeamName,newestTeamAbbrevName,newestTeamId,newestTeamImageId,lastNFLTeamId,lastNFLTeamAbbrev,lastNFLTeamName,lastNFLTeamLocation,lastNFLTeamFullName,inFBS,inFCS,activeFBSTeam,activeFCSTeam,teamColor,gameConference,College,pro_day_40,pro_day_10_split,pro_day_3_cone,pro_day_vertical,pro_day_broad,pro_day_bench,combine_40,combine_10_split,combine_3_cone,combine_vertical,combine_broad,combine_bench,height,weight,hand_size,wing_span,arm_length,CmbnScr,AthleteScr,ProdScr,SizeScr,G,null
1,100170438,NCAA,100170438,,Kekoura Tarnue,Kekoura Tarnue,DB,West Virginia Mountaineers,WVU,100000343,WVUN,,,,,,true,,,,#002B5C,Big 12,West Virginia,-,-,,,,,-,-,-,-,,,72,200,-,,-,-,-,-,-,12,
1,100170440,NCAA,100170440,,Aidan Thompson,Aidan Thompson,LB,Jacksonville State Gamecocks,JVST,100000196,ALJA,,,,,,true,,,,#CB2027,C-USA,Jacksonville State,-,-,,,,,-,-,-,-,,,74,230,-,,-,-,-,-,-,3,
1,100170441,NCAA,100170441,,Cam Vaughn,Cam Vaughn,WR,West Virginia Mountaineers,WVU,100000343,WVUN,,,,,,true,,,,#002B5C,Big 12,West Virginia,-,-,,,,,-,-,-,-,,,74,185,-,,-,-,-,-,-,12,
1,100170442,NCAA,100170442,,Jackson Veasy,Jackson Veasy,DL,Jacksonville State Gamecocks,JVST,100000196,ALJA,,,,,,true,,,,#CB2027,C-USA,Jacksonville State,-,-,,,,,-,-,-,-,,,72,290,-,,-,-,-,-,-,7,
1,100170443,NCAA,100170443,,Quinzavious Warren,Quinzavious Warren,DL,Southern Miss Golden Eagles,USM,100000296,MSSO,,,,,,true,,,,#000000,Sun Belt,Southern Miss,-,-,,,,,-,-,-,-,,,74,330,-,,-,-,-,-,-,9,
1,100170446,NCAA,100170446,,Nate Zills,Nate Zills,TE,Jacksonville State Gamecocks,JVST,100000196,ALJA,,,,,,true,,,,#CB2027,C-USA,Jacksonville State,-,-,,,,,-,-,-,-,,,77,230,-,,-,-,-,-,-,0,
1,100170510,NCAA,100170510,,Judah Ezinwa,Judah Ezinwa,TE,UTEP Miners,UTEP,100000330,TXEP,,,,,,true,,,,#002843,C-USA,UTEP,-,-,,,,,-,-,-,-,,,75,235,-,,-,-,-,-,-,5,
1,100170513,NCAA,100170513,,KD Johnson,KD Johnson,DL,UTEP Miners,UTEP,100000330,TXEP,,,,,,true,,,,#002843,C-USA,UTEP,-,-,,,,,-,-,-,-,,,73,275,-,,-,-,-,-,-,12,
1,100170514,NCAA,100170514,,Dimitri Madden,Dimitri Madden,DL,Akron Zips,AKR,100000102,OHAK,,,,,,true,,,,#C29C41,MAC,Akron,-,-,,,,,-,-,-,-,,,75,305,-,,-,-,-,-,-,5,
1,100170518,NCAA,100170518,,Nick Scalise,Nick Scalise,OL,UNLV Rebels,UNLV,100000325,NVLV,,,,,,true,,,,#B10202,MWC,UNLV,-,-,,,,,-,-,-,-,,,78,315,-,,-,-,-,-,-,2,
1,100170519,NCAA,100170519,,Jaquan Toney,Jaquan Toney,OL,UTEP Miners,UTEP,100000330,TXEP,,,,,,true,,,,#002843,C-USA,UTEP,-,-,,,,,-,-,-,-,,,76,285,-,,-,-,-,-,-,10,
1,100170521,NCAA,100170521,,Marcus Vinson,Marcus Vinson,TE,New Mexico Lobos,UNM,100000241,NMUN,,,,,,true,,,,#D41045,MWC,New Mexico,-,-,,,,,-,-,-,-,,,76,247,-,,-,-,-,-,-,1,
1,100175584,NCAA,100175584,,Micah McCarroll,Micah McCarroll,DB,Jacksonville State Gamecocks,JVST,100000196,ALJA,,,,,,true,,,,#CB2027,C-USA,Jacksonville State,-,-,,,,,-,-,-,-,,,69,170,-,,-,-,-,-,-,1,
1,100175586,NCAA,100175586,,Cole Roberson,Cole Roberson,OL,Jacksonville State Gamecocks,JVST,100000196,ALJA,,,,,,true,,,,#CB2027,C-USA,Jacksonville State,-,-,,,,,-,-,-,-,,,76,295,-,,-,-,-,-,-,0,
