player,position,college,cmbn_score,athlete_score,prod_score,name_norm,pos_group
Joe Royer,TE,Cincinnati,67.5,68.3,65.9,joe royer,TE
Akheem Mesidor,DL,Miami (FL),80.2,67.1,89.6,akheem mesidor,DL
Haynes King,QB,Georgia Tech,73.3,94.2,61.1,haynes king,QB
Romello Height,LB,Texas Tech,73.2,73.2,74.7,romello height,LB
Jeremiah Wright,OL,Auburn,63,71.4,54.8,jeremiah wright,IOL
Dillon Wade,OL,Auburn,69.9,81.1,61.3,dillon wade,IOL
Riley Nowakowski,TE,Indiana,68.5,75.8,62.5,riley nowakowski,TE
CJ Daniels,WR,Miami (FL),73.4,68.7,72.6,cj daniels,WR
Seth McGowan,RB,Kentucky,67.3,73.8,63.6,seth mcgowan,RB
Joshua Braun,OL,Kentucky,66.6,74,65.3,joshua braun,IOL
Carson Beck,QB,Miami (FL),77.1,69.7,84,carson beck,QB
DeMonte Capehart,DL,Clemson,71.4,84.7,63.7,demonte capehart,DL
Noah Whittington,RB,Oregon,57.7,73.2,54.6,noah whittington,RB
Nate Boerkircher,TE,Texas A&M,67.5,66,67.1,nate boerkircher,TE
Fa'alili Fa'amoe,OL,Wake Forest,62.1,71.2,53.5,fa'alili fa'amoe,IOL
Gary Smith III,DL,UCLA,60.3,62,55.1,gary smith,DL
Bud Clark,DB,TCU,79.2,74.8,78.8,bud clark,CB
Emmanuel Pregnon,OL,Oregon,80.9,79.5,79.2,emmanuel pregnon,IOL
Treydan Stukes,DB,Arizona,76.8,78.5,73.7,treydan stukes,CB
Logan Jones,OL,Iowa,75.2,86.8,68.7,logan jones,IOL
Matthew Hibner,TE,SMU,72.3,86.2,67.4,matthew hibner,TE
Bryson Eason,DL,Tennessee,64.4,65.8,60.1,bryson eason,DL
Carver Willis,OL,Washington,68.4,68,64.8,carver willis,IOL
Ar'maj Reed-Adams,OL,Texas A&M,74.6,70,72,ar'maj reed-adams,IOL
Jalon Daniels,QB,Kansas,68.6,79,65.7,jalon daniels,QB
Mason Reiger,DL,Wisconsin,66.7,79.7,67.6,mason reiger,DL
Caullin Lacy,WR,Louisville,66.2,52.4,68.8,caullin lacy,WR
Joe Fagnano,QB,Connecticut,69.9,75.6,64.7,joe fagnano,QB
Keagen Trost,OL,Missouri,73.9,71.2,81.6,keagen trost,IOL
Evan Beerntsen,OL,Northwestern,65.3,62.3,69,evan beerntsen,IOL
Julian Neal,DB,Arkansas,74.8,75.5,71.4,julian neal,CB
Garrett DiGiorgio,OL,UCLA,57.2,68.9,54.2,garrett digiorgio,IOL
Fernando Carmona,OL,Arkansas,70.8,79.2,71.3,fernando carmona,IOL
Cashius Howell,LB,Texas A&M,77,73.6,74.1,cashius howell,LB
Deven Eastern,DL,Minnesota,62.3,61.4,58.3,deven eastern,DL
Mike Washington Jr.,RB,Arkansas,71.2,92.3,54.8,mike washington,RB
Jack Kelly,LB,BYU,71.1,86.3,57.2,jack kelly,LB
Eric Gentry,LB,USC,61,70.9,53.9,eric gentry,LB
Malachi Lawrence,LB,UCF,73,86.4,68.7,malachi lawrence,LB
Eric McAlister,WR,TCU,70.3,68.7,78,eric mcalister,WR
Taylen Green,QB,Arkansas,76.6,97,68.2,taylen green,QB
Diego Pounds,OL,Mississippi,71,82.3,57.8,diego pounds,IOL
Matt Gulbin,OL,Michigan State,73.3,67.7,81.5,matt gulbin,IOL
Chris Adams,OL,Memphis,68.2,72,58.5,chris adams,IOL
Caleb Tiernan,OL,Northwestern,75.5,74.3,74.1,caleb tiernan,IOL
Aidan Hubbard,DL,Northwestern,68.4,66.4,65.9,aidan hubbard,DL
Sam Hecht,OL,Kansas State,74.2,68.4,79.4,sam hecht,IOL
Max Bredeson,TE,Michigan,66.4,64.2,57.1,max bredeson,TE
Rayshaun Benny,DL,Michigan,67.4,75.3,65.3,rayshaun benny,DL
Quintayvious Hutchins,LB,Boston College,53.6,55.1,52.8,quintayvious hutchins,LB
Khalil Dinkins,TE,Penn State,65.1,64.5,66.2,khalil dinkins,TE
Harrison Wallace III,WR,Mississippi,59.1,65.7,61.6,harrison wallace,WR
Zakee Wheatley,DB,Penn State,70.2,69.9,64.8,zakee wheatley,CB
Skyler Bell,WR,Connecticut,77.4,83.5,73.3,skyler bell,WR
